run_id,strategy,model,lang,n,elapsed_seconds,accuracy,f1_macro,mcc,status,error
pipeline_ollama-mistral-7b-ollama-mistral-7b_pt_n100_1779303870,pipeline,ollama/mistral:7b,pt,100,575.75,0.51,0.4715,0.2549,ok,
baseline_ollama-mistral-7b_en_n100_1779304446,baseline,ollama/mistral:7b,en,100,483.01,0.59,0.5746,0.3709,ok,
pipeline_ollama-mistral-7b-ollama-mistral-7b_en_n100_1779304929,pipeline,ollama/mistral:7b,en,100,552.05,0.5,0.4575,0.2387,ok,
baseline_ollama-qwen2.5-7b_pt_n625_1779490963,baseline,ollama/qwen2.5:7b,pt,625,3566.03,0.7792,0.7788,0.5892,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_pt_n625_1779494530,pipeline,ollama/qwen2.5:7b,pt,625,3503.81,0.7856,0.7856,0.6233,ok,
baseline_ollama-qwen2.5-7b_en_n625_1779498034,baseline,ollama/qwen2.5:7b,en,625,3189.07,0.7216,0.7209,0.5254,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_en_n625_1779501223,pipeline,ollama/qwen2.5:7b,en,625,3342.68,0.7904,0.7904,0.6323,ok,
baseline_ollama-llama3.1-8b_pt_n625_1779504566,baseline,ollama/llama3.1:8b,pt,625,4132.74,0.6688,0.663,0.4772,ok,
pipeline_ollama-llama3.1-8b-ollama-llama3.1-8b_pt_n625_1779508700,pipeline,ollama/llama3.1:8b,pt,625,4238.89,0.6688,0.6618,0.4898,ok,
baseline_ollama-llama3.1-8b_en_n625_1779512939,baseline,ollama/llama3.1:8b,en,625,3782.71,0.6336,0.6214,0.4444,ok,
pipeline_ollama-llama3.1-8b-ollama-llama3.1-8b_en_n625_1779516722,pipeline,ollama/llama3.1:8b,en,625,4127.46,0.6832,0.6781,0.5053,ok,
baseline_ollama-mistral-7b_pt_n625_1779520850,baseline,ollama/mistral:7b,pt,625,3981.45,0.6128,0.5987,0.4027,ok,
pipeline_ollama-mistral-7b-ollama-mistral-7b_pt_n625_1779524832,pipeline,ollama/mistral:7b,pt,625,3886.97,0.528,0.4883,0.2913,ok,
baseline_ollama-mistral-7b_en_n625_1779528719,baseline,ollama/mistral:7b,en,625,3292.39,0.5936,0.5743,0.3842,ok,
pipeline_ollama-mistral-7b-ollama-mistral-7b_en_n625_1779532012,pipeline,ollama/mistral:7b,en,625,3773.87,0.5664,0.5391,0.3512,ok,
